location,date,humidity %,wind_speed,global_radiation,mean_temp,precipitation
London,2009/1/1,93,7,13,1.5,0
London,2009/1/2,90,12,25,3.4,0
London,2009/1/3,81,9,50,0.9,0
London,2009/1/6,73,12,51,-1,0
London,2009/1/7,89,9,13,-1.8,0
London,2009/1/8,95,4,33,2.4,0
London,2009/1/9,84,5,41,0.1,0
London,2009/1/29,90,14,49,4.4,0
London,2009/1/30,84,20,34,4.4,0
London,2009/1/31,75,24,45,4.2,0
London,2009/2/3,90,14,59,-0.6,0
London,2009/2/13,94,15,67,3.5,0
London,2009/2/15,93,14,25,4.1,0
London,2009/2/16,91,14,47,7.6,0
London,2009/2/20,89,8,76,7.7,0
London,2009/2/21,85,10,111,8.3,0
London,2009/2/22,88,15,36,8.2,0
London,2009/2/23,91,12,29,9.2,0
London,2009/2/24,93,4,29,9.8,0
London,2009/2/25,87,13,30,9.3,0
London,2009/2/26,81,16,42,7.8,0
London,2009/2/27,86,15,111,8.3,0
London,2009/2/28,87,8,31,8.8,0
London,2009/3/1,89,8,44,7.6,0
London,2009/3/4,91,11,104,5.8,0
London,2009/3/6,83,12,147,5,0
London,2009/3/12,88,17,46,9.4,0
London,2009/3/13,87,10,59,9.6,0
London,2009/3/14,81,17,97,10,0
London,2009/3/15,83,9,162,9,0
London,2009/3/16,82,8,167,9.8,0
London,2009/3/17,83,11,175,9.8,0
London,2009/3/18,78,7,182,10.2,0
London,2009/3/19,80,11,173,8.9,0
London,2009/3/20,79,9,179,8.8,0
London,2009/3/21,77,9,179,8.2,0
London,2009/3/22,82,13,171,10.4,0
London,2009/3/30,76,8,165,7.2,0
London,2009/3/31,81,4,65,11.1,0
London,2009/4/1,78,12,200,10.4,0
London,2009/4/2,81,13,162,12,0
London,2009/4/3,81,7,137,9.3,0
London,2009/4/4,79,12,186,11.4,0
London,2009/4/5,75,8,138,11,0
London,2009/4/6,72,13,158,12.8,0
London,2009/4/8,72,20,218,12.2,0
London,2009/4/9,88,16,85,11.4,0
London,2009/4/12,90,5,61,10.8,0
London,2009/4/13,82,6,162,10.85,0
London,2009/4/18,78,15,245,10.9,0
London,2009/4/19,80,14,194,10.8,0
London,2009/4/20,80,7,236,11.8,0
London,2009/4/21,77,6,261,13.3,0
London,2009/4/22,75,7,255,13.6,0
London,2009/4/23,76,10,206,13.6,0
London,2009/4/25,70,16,201,13.2,0
London,2009/4/28,83,4,149,7.5,0
London,2009/4/29,73,8,277,10.3,0
London,2009/4/30,84,12,91,12,0
London,2009/5/1,78,11,253,15,0
London,2009/5/2,79,8,258,12.8,0
London,2009/5/3,65,15,219,12.8,0
London,2009/5/4,76,12,94,9.2,0
London,2009/5/5,72,18,139,12.7,0
London,2009/5/6,75,19,199,16.2,0
London,2009/5/9,72,10,139,12.4,0
London,2009/5/10,72,10,261,12.6,0
