location,date,humidity %,wind_speed,global_radiation,mean_temp,precipitation
London,2009/1/4,76,12,13,-2.2,0.6
London,2009/1/5,84,19,29,-0.6,0.6
London,2009/1/10,81,8,14,-0.2,0.2
London,2009/1/11,80,26,36,2.6,0.2
London,2009/1/12,86,32,14,7.2,2
London,2009/1/13,94,14,18,8.6,0.2
London,2009/1/14,92,10,14,3.6,0.2
London,2009/1/15,86,21,15,4,1
London,2009/1/16,91,20,17,6.6,5.2
London,2009/1/17,86,31,46,8.2,11
London,2009/1/18,87,24,54,5.2,12.6
London,2009/1/19,93,22,22,5.8,1
London,2009/1/20,91,15,27,4.4,0.2
London,2009/1/21,89,17,50,3.8,4.8
London,2009/1/22,92,25,31,6.4,12.2
London,2009/1/23,95,22,27,5.8,1.6
London,2009/1/24,92,13,39,3.1,8.6
London,2009/1/25,97,24,17,4,3.4
London,2009/1/26,94,6,52,6,0.2
London,2009/1/27,93,9,64,4.2,4.4
London,2009/1/28,98,14,18,4.1,2.2
London,2009/2/1,79,24,53,1.1,5
London,2009/2/2,91,18,20,-1,2.6
London,2009/2/4,93,13,63,0.8,8.8
London,2009/2/5,99,11,21,2,5.8
London,2009/2/6,98,20,21,1.2,6.4
London,2009/2/7,94,14,54,0.2,0.4
London,2009/2/8,91,12,44,2,5
London,2009/2/9,99,16,22,3.4,31.2
London,2009/2/10,94,25,55,4,0.2
London,2009/2/11,94,12,71,2.9,0.4
London,2009/2/12,89,13,66,2,2.2
London,2009/2/14,86,6,58,1.7,0.2
London,2009/2/17,93,15,29,8,0.6
London,2009/2/18,92,7,26,8.8,0.6
London,2009/2/19,90,6,27,8,0.2
London,2009/3/2,84,13,129,6.1,0.2
London,2009/3/3,91,26,40,8,17.6
London,2009/3/5,88,11,87,4.1,0.2
London,2009/3/7,87,16,83,8.4,0.6
London,2009/3/8,83,27,127,8.6,3
London,2009/3/9,77,24,135,6.9,3
London,2009/3/10,93,18,73,9.4,0.2
London,2009/3/11,89,9,91,7.6,0.4
London,2009/3/23,81,25,100,9.7,1.6
London,2009/3/24,65,20,174,8,1.2
London,2009/3/25,78,25,128,9.6,0.6
London,2009/3/26,82,21,87,11.2,0.6
London,2009/3/27,72,20,96,7.6,0.4
London,2009/3/28,83,18,110,6.2,0.2
London,2009/3/29,77,8,132,5.3,0.2
London,2009/4/7,74,17,165,11.6,1.8
London,2009/4/10,89,11,59,12.3,6.8
London,2009/4/11,89,5,60,10,2.8
London,2009/4/14,82,10,153,12.2,0.8
London,2009/4/15,85,17,142,15.2,1
London,2009/4/16,94,6,69,13,3.4
London,2009/4/17,94,10,64,9.7,4.8
London,2009/4/24,67,16,248,13.8,0.6
London,2009/4/26,70,10,272,11.2,1.4
London,2009/4/27,93,10,86,8.8,4.6
London,2009/5/7,78,19,92,12.8,0.2
London,2009/5/8,69,21,199,12.7,0.6
